method,n_paths,mean_error,std_error,mean_stderr
Quasi-MC (Sobol),100,0.21245438556047322,0.175804615642493,3.1185802074795776
Quasi-MC (Sobol),156,0.08462041030766798,0.052394672136235186,2.171905256975458
Quasi-MC (Sobol),245,0.08462041030766798,0.052394672136235186,2.171905256975458
Quasi-MC (Sobol),383,0.03848176775439853,0.045772969489087226,1.5344823642356042
Quasi-MC (Sobol),600,0.020339772498014004,0.02061755541078965,1.082354084634936
Quasi-MC (Sobol),940,0.020339772498014004,0.02061755541078965,1.082354084634936
Quasi-MC (Sobol),1472,0.007944333331208498,0.007556102897840516,0.7648133403367544
Quasi-MC (Sobol),2305,0.004147440704455599,0.0032857485252710873,0.5406624333812321
Quasi-MC (Sobol),3609,0.004147440704455599,0.0032857485252710873,0.5406624333812321
Quasi-MC (Sobol),5651,0.001565253164944854,0.0012290615171635716,0.3821998061664508
Quasi-MC (Sobol),8847,0.001035812784355746,0.0008855650501214109,0.27027251605622576
Quasi-MC (Sobol),13851,0.001035812784355746,0.0008855650501214109,0.27027251605622576
Quasi-MC (Sobol),21686,0.00035361590669680254,0.0003872922863672318,0.19110269025983534
Quasi-MC (Sobol),33952,0.0002538511184778732,0.00024595886360609224,0.13513326394609998
Quasi-MC (Sobol),53156,0.0002538511184778732,0.00024595886360609224,0.13513326394609998
Quasi-MC (Sobol),83222,0.00013297174548749052,0.00012523847358947125,0.09555308543261867
Quasi-MC (Sobol),130293,0.00013297174548749052,0.00012523847358947125,0.09555308543261867
Quasi-MC (Sobol),203988,5.1914313032123495e-05,5.5284111635878806e-05,0.06756550705589928
Quasi-MC (Sobol),319365,2.3508152177716587e-05,2.30624248841746e-05,0.04777595890585585
Quasi-MC (Sobol),499999,2.3508152177716587e-05,2.30624248841746e-05,0.04777595890585585
