strike,moneyness,market_mid,yf_iv,inTheMoney,bs_price_yf_iv,error_yf_iv,our_iv,iv_diff,bs_price_our_iv,error_our_iv,delta,gamma,theta,vega,rho,iv_error
435.0,0.9446,36.55,0.3928,True,38.4034,1.8534,0.3555,-0.0373,36.55,0.0,0.7232,0.006421,-0.265,0.4908,0.3006,
440.0,0.9554,32.8,0.3828,True,34.6595,1.8595,0.3471,-0.0357,32.8,0.0,0.6917,0.006915,-0.2703,0.516,0.2897,
445.0,0.9663,29.85,0.3812,True,31.4981,1.6481,0.3509,-0.0303,29.85,0.0,0.6537,0.007172,-0.2832,0.541,0.2749,
450.0,0.9772,26.45,0.3594,True,27.3796,0.9296,0.3428,-0.0166,26.45,-0.0,0.6178,0.007588,-0.2846,0.5593,0.2616,
455.0,0.988,23.65,0.3718,True,25.3425,1.6925,0.3423,-0.0295,23.65,0.0,0.5787,0.007794,-0.2892,0.5735,0.2462,
460.0,0.9989,21.45,0.3691,True,22.6394,1.1894,0.3486,-0.0204,21.45,-0.0,0.5393,0.007767,-0.2966,0.5821,0.23,
465.0,1.0097,18.875,0.3625,False,19.8939,1.0189,0.3451,-0.0174,18.875,0.0,0.5,0.007884,-0.2936,0.5849,0.2143,
470.0,1.0206,16.85,0.3664,False,17.9383,1.0883,0.3477,-0.0187,16.85,0.0,0.4619,0.007789,-0.2929,0.5823,0.1985,
475.0,1.0314,14.625,0.3547,False,15.2591,0.6341,0.3436,-0.011,14.625,0.0,0.4227,0.007769,-0.2843,0.5739,0.1825,
480.0,1.0423,13.05,0.3604,False,13.7612,0.7112,0.3477,-0.0126,13.05,0.0,0.3875,0.007511,-0.2802,0.5615,0.1677,
485.0,1.0532,11.65,0.3671,False,12.4691,0.8191,0.3521,-0.015,11.65,0.0,0.3544,0.007207,-0.2745,0.5456,0.1536,
490.0,1.064,10.05,0.3584,False,10.4982,0.4482,0.3499,-0.0085,10.05,0.0,0.3197,0.006968,-0.2613,0.5241,0.1391,
495.0,1.0749,9.125,0.3723,False,9.8606,0.7356,0.3578,-0.0145,9.125,0.0,0.293,0.006555,-0.2563,0.5043,0.1275,
500.0,1.0857,7.9,0.3656,False,8.2976,0.3976,0.3573,-0.0083,7.9,0.0,0.263,0.006228,-0.2422,0.4784,0.1148,
505.0,1.0966,7.375,0.3862,False,8.1619,0.7869,0.3693,-0.0169,7.375,0.0,0.2437,0.00579,-0.2397,0.4596,0.1063,
510.0,1.1074,6.05,0.3709,False,6.4642,0.4142,,,,,,,,,,"Vega is approx 0 at iteration 2, Newton Raphson cannot contunue.Try another intiial guess or check param values"
515.0,1.1183,5.675,0.3855,False,6.1928,0.5178,,,,,,,,,,"Vega is approx 0 at iteration 2, Newton Raphson cannot contunue.Try another intiial guess or check param values"
520.0,1.1292,4.95,0.3857,False,5.3875,0.4375,,,,,,,,,,"Vega is approx 0 at iteration 1, Newton Raphson cannot contunue.Try another intiial guess or check param values"
525.0,1.14,4.4,0.3901,False,4.8309,0.4309,,,,,,,,,,"Vega is approx 0 at iteration 1, Newton Raphson cannot contunue.Try another intiial guess or check param values"
530.0,1.1509,3.925,0.3944,False,4.3269,0.4019,,,,,,,,,,"Vega is approx 0 at iteration 1, Newton Raphson cannot contunue.Try another intiial guess or check param values"
535.0,1.1617,3.55,0.4014,False,3.9703,0.4203,,,,,,,,,,"Vega is approx 0 at iteration 1, Newton Raphson cannot contunue.Try another intiial guess or check param values"
540.0,1.1726,2.985,0.4009,False,3.4244,0.4394,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
550.0,1.1943,2.435,0.4078,False,2.7261,0.2911,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
555.0,1.2052,2.145,0.4063,False,2.3145,0.1695,,,,,,,,,,"Vega is approx 0 at iteration 0, Newton Raphson cannot contunue.Try another intiial guess or check param values"
